id;start_date;end_date;language
1;2020-04-10T10:33:00;2020-04-10T08:23:15;SPANISH
2;2020-04-09T15:23:11;2020-04-10T10:27:36;SPANISH
3;2020-04-10T06:18:30;2020-04-09T16:52:39;FRENCH
4;2020-04-09T21:36:01;2020-04-10T09:07:27;FRENCH
5;2020-04-10T07:06:19;2020-04-10T11:53:18;FRENCH
6;2020-04-10T00:58:40;2020-04-10T13:06:54;FRENCH
7;2020-04-10T02:44:00;2020-04-09T20:34:51;FRENCH
8;2020-04-10T01:40:13;2020-04-10T11:56:21;SPANISH
9;2020-04-10T00:21:22;2020-04-09T21:02:45;SPANISH
10;2020-04-10T08:33:26;2020-04-09T19:07:56;SPANISH
